id,from,to,cost,nodes
1179,857780856,478373250,133.25,"['857780856', '478373250']"
1180,857780856,63338299,3175.08,"['857780856', '64837069', '1572268640', '64837068', '64837067', '857780845', '3814918591', '76482085', '71128708', '601661235', '64837062', '64837061', '76482084', '486179370', '479995536', '64837060', '64837059', '6388820964', '6388820980', '6388820967', '7104188374', '7104188372', '76482203', '4861590685', '479995053', '64837057', '7104188350', '109425491', '7104188351', '1572276014', '858404212', '64837055', '858404213', '7104188348', '483133323', '7104204940', '7104188349', '7104204935', '7104204939', '7104204929', '64809720', '554236870', '7104204938', '601669728', '64809719', '4464604063', '131166911', '64809718', '554236880', '6796878437', '154073348', '601675124', '267671947', '4459852493', '554236893', '4459852491', '8221559064', '64809717', '857586380', '857586333', '6339504019', '154073300', '63338299']"
1181,63338299,857780856,3175.08,"['63338299', '154073300', '6339504019', '857586333', '857586380', '64809717', '8221559064', '4459852491', '554236893', '4459852493', '267671947', '601675124', '154073348', '6796878437', '554236880', '64809718', '131166911', '4464604063', '64809719', '601669728', '7104204938', '554236870', '64809720', '7104204929', '7104204939', '7104204935', '7104188349', '7104204940', '483133323', '7104188348', '858404213', '64837055', '858404212', '1572276014', '7104188351', '109425491', '7104188350', '64837057', '479995053', '4861590685', '76482203', '7104188372', '7104188374', '6388820967', '6388820980', '6388820964', '64837059', '64837060', '479995536', '486179370', '76482084', '64837061', '64837062', '601661235', '71128708', '76482085', '3814918591', '857780845', '64837067', '64837068', '1572268640', '64837069', '857780856']"
1182,75354586,5070865543,208.17,"['75354586', '486247422', '677734741', '1888382843', '478373314', '486256219', '5070865543']"
1183,5070865543,75354586,208.17,"['5070865543', '486256219', '478373314', '1888382843', '677734741', '486247422', '75354586']"
1184,5070865543,103764456,453.76,"['5070865543', '486254643', '103735528', '475974946', '1888382818', '1888393442', '7116269627', '103764456']"
1185,103764456,5070865543,453.76,"['103764456', '7116269627', '1888393442', '1888382818', '475974946', '103735528', '486254643', '5070865543']"
1186,76482739,482732933,180.93,"['76482739', '639305927', '7113864500', '482732933']"
1187,482732933,76482739,180.93,"['482732933', '7113864500', '639305927', '76482739']"
1188,482732933,479297279,12.22,"['482732933', '479297279']"
1189,479297279,482732933,12.22,"['479297279', '482732933']"
1190,1580625972,95612191,933.29,"['1580625972', '486183839', '76482734', '601661130', '7030830300', '601661132', '554206399', '95612298', '478373282', '95612191']"
1191,95612191,1580625972,933.29,"['95612191', '478373282', '95612298', '554206399', '601661132', '7030830300', '601661130', '76482734', '486183839', '1580625972']"
1192,483103400,483103082,116.47,"['483103400', '477445166', '1576353686', '483103082']"
1193,483103082,483103400,116.47,"['483103082', '1576353686', '477445166', '483103400']"
1194,483103082,601145286,266.07,"['483103082', '477445170', '2991482218', '601145286']"
1195,601145286,483103082,266.07,"['601145286', '2991482218', '477445170', '483103082']"
1196,601145286,479297947,21.33,"['601145286', '479297947']"
1197,479297947,601145286,21.33,"['479297947', '601145286']"
1198,479297947,603884627,67.11,"['479297947', '603884627']"
1199,603884627,479297947,67.11,"['603884627', '479297947']"
1200,603884627,482731177,76.98,"['603884627', '477445173', '482731177']"
1201,482731177,603884627,76.98,"['482731177', '477445173', '603884627']"
1202,482731177,1404152847,121.2,"['482731177', '1404152847']"
1203,1404152847,482731177,121.2,"['1404152847', '482731177']"
1204,1404152847,1404152880,35.64,"['1404152847', '1404152880']"
1205,1404152880,1404152847,35.64,"['1404152880', '1404152847']"
1206,1404152880,608700679,45.52,"['1404152880', '608700679']"
1207,608700679,1404152880,45.52,"['608700679', '1404152880']"
1208,608700679,477445174,193.82,"['608700679', '477445174']"
1209,477445174,608700679,193.82,"['477445174', '608700679']"
1210,477445174,476553855,133.54,"['477445174', '476553855']"
1211,476553855,477445174,133.54,"['476553855', '477445174']"
1212,476553855,476553960,14.35,"['476553855', '476553960']"
1213,476553960,476553855,14.35,"['476553960', '476553855']"
1214,476553960,623414118,64.44,"['476553960', '623414118']"
1215,623414118,476553960,64.44,"['623414118', '476553960']"
1216,623414118,476555428,173.71,"['623414118', '476561954', '1576353723', '1576353725', '1576353696', '476555428']"
1217,476555428,623414118,173.71,"['476555428', '1576353696', '1576353725', '1576353723', '476561954', '623414118']"
1218,476555428,476562079,743.12,"['476555428', '476562058', '476562059', '476562060', '476562061', '476562062', '476562064', '476562065', '476562299', '476562066', '476562102', '476562068', '476562069', '481501845', '476562071', '5558655367', '476562073', '476562074', '476562075', '5558655362', '1328999567', '476562076', '476562078', '476562079']"
1219,476562079,476555428,743.12,"['476562079', '476562078', '476562076', '1328999567', '5558655362', '476562075', '476562074', '476562073', '5558655367', '476562071', '481501845', '476562069', '476562068', '476562102', '476562066', '476562299', '476562065', '476562064', '476562062', '476562061', '476562060', '476562059', '476562058', '476555428']"
1220,602393451,3356046288,496.53,"['602393451', '602393454', '7113864512', '602393455', '602393456', '602393457', '1548518926', '1548518343', '3356046288']"
1221,3356046288,602393451,496.53,"['3356046288', '1548518343', '1548518926', '602393457', '602393456', '602393455', '7113864512', '602393454', '602393451']"
1222,3356046288,602393452,1070.81,"['3356046288', '1548518412', '602393458', '602393452']"
1223,602393452,3356046288,1070.81,"['602393452', '602393458', '1548518412', '3356046288']"
1224,602393459,64813772,198.01,"['602393459', '7113864511', '7113864510', '7113864508', '7113864507', '64813772']"
1225,64813772,602393459,198.01,"['64813772', '7113864507', '7113864508', '7113864510', '7113864511', '602393459']"
1226,602393461,602393459,1560.95,"['602393461', '602393462', '602393463', '3356046290', '1548518605', '602393464', '602393465', '602393466', '602393459']"
1227,602393459,602393461,1560.95,"['602393459', '602393466', '602393465', '602393464', '1548518605', '3356046290', '602393463', '602393462', '602393461']"
1228,602393470,3356046288,727.01,"['602393470', '7113864506', '602393471', '602393472', '602393473', '602393474', '602393475', '602393476', '1548518338', '1580625975', '1580625977', '3356046288']"
1229,3356046288,602393470,727.01,"['3356046288', '1580625977', '1580625975', '1548518338', '602393476', '602393475', '602393474', '602393473', '602393472', '602393471', '7113864506', '602393470']"
1230,3356046288,602393480,1588.57,"['3356046288', '1548518340', '602393477', '602393478', '602393479', '602393480']"
1231,602393480,3356046288,1588.57,"['602393480', '602393479', '602393478', '602393477', '1548518340', '3356046288']"
1232,475980801,64813773,170.66,"['475980801', '475980802', '7113864505', '7113864504', '7113864503', '64813773']"
1233,64813773,475980801,170.66,"['64813773', '7113864503', '7113864504', '7113864505', '475980802', '475980801']"
1234,603837471,479297947,1212.41,"['603837471', '603837587', '479298057', '479298061', '623411670', '479298067', '623414685', '479298070', '479298075', '479298081', '622622484', '479298086', '856909257', '479298089', '601712459', '479298091', '479298094', '479297947']"
1235,479297947,603837471,1212.41,"['479297947', '479298094', '479298091', '601712459', '479298089', '856909257', '479298086', '622622484', '479298081', '479298075', '479298070', '623414685', '479298067', '623411670', '479298061', '479298057', '603837587', '603837471']"
1236,479297947,479297994,16.77,"['479297947', '479297994']"
1237,479297994,479297947,16.77,"['479297994', '479297947']"
1238,479297994,482731180,80.25,"['479297994', '479298098', '482731180']"
1239,482731180,479297994,80.25,"['482731180', '479298098', '479297994']"
1240,482731180,482732359,211.96,"['482731180', '479298107', '479298110', '482732359']"
1241,482732359,482731180,211.96,"['482732359', '479298110', '479298107', '482731180']"
1242,482732359,76482738,79.28,"['482732359', '76482738']"
1243,76482738,482732359,79.28,"['76482738', '482732359']"
1244,482731911,1404037126,83.9,"['482731911', '1404037126']"
1245,1404037126,482731911,83.9,"['1404037126', '482731911']"
1246,1404037126,476558313,30.62,"['1404037126', '7113864522', '476558313']"
1247,476558313,1404037126,30.62,"['476558313', '7113864522', '1404037126']"
1248,603884627,603884628,16.11,"['603884627', '603884628']"
1249,603884628,603884627,16.11,"['603884628', '603884627']"
1250,603884628,654393155,65.77,"['603884628', '654393155']"
1251,654393155,603884628,65.77,"['654393155', '603884628']"
1252,654393155,603884631,44.28,"['654393155', '603884631']"
1253,603884631,654393155,44.28,"['603884631', '654393155']"
1254,618167141,476562811,84.14,"['618167141', '476562809', '476562810', '476562811']"
1255,476562811,618167141,84.14,"['476562811', '476562810', '476562809', '618167141']"
1256,856909497,856909334,417.04,"['856909497', '856909587', '856909588', '856909530', '623413798', '623414100', '1328999522', '623414105', '623414114', '1328999582', '623414116', '1328999422', '856909354', '856909292', '856909334']"
1257,856909334,856909497,417.04,"['856909334', '856909292', '856909354', '1328999422', '623414116', '1328999582', '623414114', '623414105', '1328999522', '623414100', '623413798', '856909530', '856909588', '856909587', '856909497']"
1258,856909334,623414118,58.32,"['856909334', '623414118']"
1259,623414118,856909334,58.32,"['623414118', '856909334']"
1260,623414118,623414122,14.64,"['623414118', '623414122']"
1261,623414122,623414118,14.64,"['623414122', '623414118']"
1262,385113975,848690496,58.38,"['385113975', '848690658', '848690496']"
1263,848690496,385113975,58.38,"['848690496', '848690658', '385113975']"
1264,848690496,848690593,22.72,"['848690496', '848690593']"
1265,848690593,848690496,22.72,"['848690593', '848690496']"
1266,848690593,624739067,184.33,"['848690593', '848690659', '848690661', '4075546741', '75355696', '624739173', '624739067']"
1267,624739067,848690593,184.33,"['624739067', '624739173', '75355696', '4075546741', '848690661', '848690659', '848690593']"
1268,624739067,624739122,128.77,"['624739067', '624739178', '624739189', '624739122']"
1269,624739122,624739067,128.77,"['624739122', '624739189', '624739178', '624739067']"
1270,624739122,152847559,343.18,"['624739122', '848690453', '624739194', '624739199', '624739206', '624739211', '152847559']"
1271,152847559,624739122,343.18,"['152847559', '624739211', '624739206', '624739199', '624739194', '848690453', '624739122']"
1272,476561935,1328999560,333.47,"['476561935', '476561937', '476561939', '1328999425', '476561940', '476561941', '481501843', '476561942', '1328999560']"
1273,1328999560,476561935,333.47,"['1328999560', '476561942', '481501843', '476561941', '476561940', '1328999425', '476561939', '476561937', '476561935']"
1274,1328999560,1324294936,49.6,"['1328999560', '476561943', '1324294936']"
1275,1324294936,1328999560,49.6,"['1324294936', '476561943', '1328999560']"
1276,1324294936,1328999442,35.02,"['1324294936', '476561944', '1328999442']"
1277,1328999442,1324294936,35.02,"['1328999442', '476561944', '1324294936']"
1278,1328999442,476562811,52.47,"['1328999442', '476561945', '476562811']"
1279,476562811,1328999442,52.47,"['476562811', '476561945', '1328999442']"
1280,476562811,1324294330,82.05,"['476562811', '476561946', '1324294330']"
1281,1324294330,476562811,82.05,"['1324294330', '476561946', '476562811']"
1282,1324294330,476561947,40.26,"['1324294330', '476561947']"
1283,476561947,1324294330,40.26,"['476561947', '1324294330']"
1284,476561947,476561951,141.61,"['476561947', '476561948', '476561949', '476561950', '476561951']"
1285,476561951,476561947,141.61,"['476561951', '476561950', '476561949', '476561948', '476561947']"
1286,476561951,623414122,174.84,"['476561951', '1576353714', '1576353694', '476561952', '623414122']"
1287,623414122,476561951,174.84,"['623414122', '476561952', '1576353694', '1576353714', '476561951']"
1288,623414122,477444686,68.35,"['623414122', '477444686']"
1289,477444686,623414122,68.35,"['477444686', '623414122']"
1290,477444686,477444694,14.09,"['477444686', '477444694']"
1291,477444694,477444686,14.09,"['477444694', '477444686']"
1292,477444694,476560013,133.22,"['477444694', '476560013']"
1293,476560013,477444694,133.22,"['476560013', '477444694']"
1294,476560013,1324294230,90.96,"['476560013', '1324294230']"
1295,1324294230,476560013,90.96,"['1324294230', '476560013']"
1296,1324294230,1324295231,50.09,"['1324294230', '1324295231']"
1297,1324295231,1324294230,50.09,"['1324295231', '1324294230']"
1298,1324295231,482731602,60.93,"['1324295231', '482731602']"
1299,482731602,1324295231,60.93,"['482731602', '1324295231']"
1300,482731602,482731178,194.72,"['482731602', '477444967', '482731178']"
1301,482731178,482731602,194.72,"['482731178', '477444967', '482731602']"
1302,482731178,603884628,79.76,"['482731178', '603884628']"
1303,603884628,482731178,79.76,"['603884628', '482731178']"
1304,603884628,479297994,67.49,"['603884628', '477444968', '479297994']"
1305,479297994,603884628,67.49,"['479297994', '477444968', '603884628']"
1306,479297994,601145285,21.33,"['479297994', '601145285']"
1307,601145285,479297994,21.33,"['601145285', '479297994']"
1308,601145285,483103066,262.81,"['601145285', '477444970', '483103066']"
1309,483103066,601145285,262.81,"['483103066', '477444970', '601145285']"
1310,483103066,483103362,120.43,"['483103066', '477444973', '483103362']"
1311,483103362,483103066,120.43,"['483103362', '477444973', '483103066']"
1312,639305926,483099095,134.08,"['639305926', '483099095']"
1313,483099095,639305926,134.08,"['483099095', '639305926']"
1314,483099095,481499142,96.13,"['483099095', '481499138', '481499142']"
1315,481499142,483099095,96.13,"['481499142', '481499138', '483099095']"
1316,481499142,481499482,22.42,"['481499142', '4069732170', '481499482']"
1317,481499482,481499142,22.42,"['481499482', '4069732170', '481499142']"
1318,481499482,1316236682,27.37,"['481499482', '1316236682']"
1319,1316236682,481499482,27.37,"['1316236682', '481499482']"
1320,1316236682,483099888,67.02,"['1316236682', '483099888']"
1321,483099888,1316236682,67.02,"['483099888', '1316236682']"
1322,483099888,1316237212,10.28,"['483099888', '1316237212']"
1323,1316237212,483099888,10.28,"['1316237212', '483099888']"
1324,1316237212,639308705,61.01,"['1316237212', '639308705']"
1325,639308705,1316237212,61.01,"['639308705', '1316237212']"
1326,639308705,1316236386,24.89,"['639308705', '481499147', '1316236386']"
1327,1316236386,639308705,24.89,"['1316236386', '481499147', '639308705']"
1328,1316236386,1316236963,57.67,"['1316236386', '1316236395', '1316236963']"
1329,1316236963,1316236386,57.67,"['1316236963', '1316236395', '1316236386']"
1330,1316236963,1316236342,70.69,"['1316236963', '1316236342']"
1331,1316236342,1316236963,70.69,"['1316236342', '1316236963']"
1332,639308645,639308640,121.16,"['639308645', '7114595668', '6547379875', '639308640']"
1333,639308640,639308645,121.16,"['639308640', '6547379875', '7114595668', '639308645']"
1334,639308640,639308641,42.01,"['639308640', '6547379876', '639308641']"
1335,639308641,639308640,42.01,"['639308641', '6547379876', '639308640']"
1336,639308643,639308645,151.5,"['639308643', '6547379873', '639308644', '639308645']"
1337,639308645,639308643,151.5,"['639308645', '639308644', '6547379873', '639308643']"
1338,639308664,639308640,61.62,"['639308664', '639308665', '639308640']"
1339,639308640,639308664,61.62,"['639308640', '639308665', '639308664']"
1340,639308668,4460275969,31.95,"['639308668', '4460275969']"
1341,4460275969,639308668,31.95,"['4460275969', '639308668']"
1342,4460275969,1316236338,57.48,"['4460275969', '639308669', '1316236338']"
1343,1316236338,4460275969,57.48,"['1316236338', '639308669', '4460275969']"
1344,1316236338,639308672,61.06,"['1316236338', '639308672']"
1345,639308672,1316236338,61.06,"['639308672', '1316236338']"
1346,639308671,1316471814,98.03,"['639308671', '1316471814']"
1347,1316471814,639308671,98.03,"['1316471814', '639308671']"
1348,1316471814,93310875,34.17,"['1316471814', '93310875']"
1349,93310875,1316471814,34.17,"['93310875', '1316471814']"
1350,639308672,639308671,151.25,"['639308672', '639309882', '3356022890', '6547379884', '3356022891', '639308671']"
1351,639308671,639308672,151.25,"['639308671', '3356022891', '6547379884', '3356022890', '639309882', '639308672']"
1352,639308674,1316236784,60.68,"['639308674', '1316236784']"
1353,1316236784,639308674,60.68,"['1316236784', '639308674']"
1354,1316236784,1316237194,21.09,"['1316236784', '1316237194']"
1355,1316237194,1316236784,21.09,"['1316237194', '1316236784']"
1356,1316237194,1316236763,36.95,"['1316237194', '1316236763']"
1357,1316236763,1316237194,36.95,"['1316236763', '1316237194']"
1358,1316236763,639308676,37.76,"['1316236763', '639308675', '639308676']"
1359,639308676,1316236763,37.76,"['639308676', '639308675', '1316236763']"
1360,639308676,1316236984,56.47,"['639308676', '1316236984']"
1361,1316236984,639308676,56.47,"['1316236984', '639308676']"
1362,1316236984,1316236804,23.65,"['1316236984', '639308677', '1316236804']"
1363,1316236804,1316236984,23.65,"['1316236804', '639308677', '1316236984']"
1364,1316236804,1316236392,9.34,"['1316236804', '1316236392']"
1365,1316236392,1316236804,9.34,"['1316236392', '1316236804']"
1366,1316236392,639308680,31.19,"['1316236392', '639308678', '639308680']"
1367,639308680,1316236392,31.19,"['639308680', '639308678', '1316236392']"
1368,639308682,639308683,60.18,"['639308682', '639308683']"
1369,639308683,639308682,60.18,"['639308683', '639308682']"
1370,482732142,1316236976,16.87,"['482732142', '1316236976']"
1371,1316236976,482732142,16.87,"['1316236976', '482732142']"
1372,1316236976,1316236446,12.9,"['1316236976', '1316236446']"
1373,1316236446,1316236976,12.9,"['1316236446', '1316236976']"
1374,1316236446,1316236381,12.87,"['1316236446', '1316236381']"
1375,1316236381,1316236446,12.87,"['1316236381', '1316236446']"
1376,1316236381,1316236722,15.29,"['1316236381', '1316236722']"
1377,1316236722,1316236381,15.29,"['1316236722', '1316236381']"
1378,1316236722,1316237158,12.9,"['1316236722', '1316237158']"
1379,1316237158,1316236722,12.9,"['1316237158', '1316236722']"
1380,1316237158,1316236926,11.87,"['1316237158', '1316236926']"
1381,1316236926,1316237158,11.87,"['1316236926', '1316237158']"
1382,1316236926,1316237207,5.64,"['1316236926', '1316237207']"
1383,1316237207,1316236926,5.64,"['1316237207', '1316236926']"
1384,1316237207,1316236987,15.28,"['1316237207', '1316236987']"
1385,1316236987,1316237207,15.28,"['1316236987', '1316237207']"
1386,1316236987,1316236887,12.13,"['1316236987', '1316236887']"
1387,1316236887,1316236987,12.13,"['1316236887', '1316236987']"
1388,1316236887,639308676,19.35,"['1316236887', '639308676']"
1389,639308676,1316236887,19.35,"['639308676', '1316236887']"
1390,639308676,7113840960,48.82,"['639308676', '7113840960']"
1391,7113840960,639308676,48.82,"['7113840960', '639308676']"
1392,639308696,1316198736,51.14,"['639308696', '1316198736']"
1393,1316198736,639308696,51.14,"['1316198736', '639308696']"
1394,1316198736,1316198815,3.93,"['1316198736', '1316198815']"
1395,1316198815,1316198736,3.93,"['1316198815', '1316198736']"
1396,1316198815,1316198747,13.23,"['1316198815', '1316198747']"
1397,1316198747,1316198815,13.23,"['1316198747', '1316198815']"
1398,1316198747,1316198796,6.78,"['1316198747', '1316198796']"
1399,1316198796,1316198747,6.78,"['1316198796', '1316198747']"
1400,1316198796,1316198767,9.19,"['1316198796', '1316198767']"
1401,1316198767,1316198796,9.19,"['1316198767', '1316198796']"
1402,1316198767,1316198759,10.4,"['1316198767', '1316198759']"
1403,1316198759,1316198767,10.4,"['1316198759', '1316198767']"
1404,1316198759,1316198740,17.77,"['1316198759', '1316198740']"
1405,1316198740,1316198759,17.77,"['1316198740', '1316198759']"
1406,1316198740,1316198773,9.1,"['1316198740', '1316198773']"
1407,1316198773,1316198740,9.1,"['1316198773', '1316198740']"
1408,1316198773,639308698,7.05,"['1316198773', '639308698']"
1409,639308698,1316198773,7.05,"['639308698', '1316198773']"
1410,639308698,1316236932,12.21,"['639308698', '1316236932']"
1411,1316236932,639308698,12.21,"['1316236932', '639308698']"
1412,1316236932,1316236669,9.87,"['1316236932', '1316236669']"
1413,1316236669,1316236932,9.87,"['1316236669', '1316236932']"
1414,1316236669,1316236873,5.12,"['1316236669', '1316236873']"
1415,1316236873,1316236669,5.12,"['1316236873', '1316236669']"
1416,1316236873,1316236732,9.44,"['1316236873', '1316236732']"
1417,1316236732,1316236873,9.44,"['1316236732', '1316236873']"
1418,1316236732,1316236792,20.63,"['1316236732', '6035124545', '1316236792']"
1419,1316236792,1316236732,20.63,"['1316236792', '6035124545', '1316236732']"
1420,1316236792,482732996,13.03,"['1316236792', '482732996']"
1421,482732996,1316236792,13.03,"['482732996', '1316236792']"
1422,482732142,1316236717,22.74,"['482732142', '1316236717']"
1423,1316236717,482732142,22.74,"['1316236717', '482732142']"
1424,1316236717,1316237001,55.88,"['1316236717', '1316237001']"
1425,1316237001,1316236717,55.88,"['1316237001', '1316236717']"
1426,1316237001,1316237112,18.19,"['1316237001', '1316237112']"
1427,1316237112,1316237001,18.19,"['1316237112', '1316237001']"
1428,1316237112,1316236642,42.4,"['1316237112', '639308701', '1316236642']"
1429,1316236642,1316237112,42.4,"['1316236642', '639308701', '1316237112']"
1430,1316236642,1316236650,35.99,"['1316236642', '639308702', '639308703', '639308704', '1316236650']"
1431,1316236650,1316236642,35.99,"['1316236650', '639308704', '639308703', '639308702', '1316236642']"
1432,1316236650,1316236948,13.89,"['1316236650', '1316236948']"
1433,1316236948,1316236650,13.89,"['1316236948', '1316236650']"
1434,1316236948,1316236423,13.43,"['1316236948', '1316236423']"
1435,1316236423,1316236948,13.43,"['1316236423', '1316236948']"
1436,1316236423,639308705,93.31,"['1316236423', '639308705']"
1437,639308705,1316236423,93.31,"['639308705', '1316236423']"
1438,639308707,1316236440,47.06,"['639308707', '639308708', '1316236440']"
1439,1316236440,639308707,47.06,"['1316236440', '639308708', '639308707']"
1440,1316236440,1316236925,73.72,"['1316236440', '639308709', '1316236925']"
1441,1316236925,1316236440,73.72,"['1316236925', '639308709', '1316236440']"
1442,1316236925,1316236590,31.66,"['1316236925', '1316236590']"
1443,1316236590,1316236925,31.66,"['1316236590', '1316236925']"
1444,1316236590,1316237209,40.21,"['1316236590', '639308710', '639308711', '639308712', '1316237209']"
1445,1316237209,1316236590,40.21,"['1316237209', '639308712', '639308711', '639308710', '1316236590']"
1446,1316237209,639308681,19.02,"['1316237209', '639308713', '639308681']"
1447,639308681,1316237209,19.02,"['639308681', '639308713', '1316237209']"
1448,7114595669,1316237161,41.75,"['7114595669', '1316237161']"
1449,1316237161,7114595669,41.75,"['1316237161', '7114595669']"
1450,1316237161,639309883,18.91,"['1316237161', '639309883']"
1451,639309883,1316237161,18.91,"['639309883', '1316237161']"
1452,639309883,639309886,88.3,"['639309883', '639309884', '639309885', '639309886']"
1453,639309886,639309883,88.3,"['639309886', '639309885', '639309884', '639309883']"
1454,476554817,1320103768,32.31,"['476554817', '1320103768']"
1455,1320103768,476554817,32.31,"['1320103768', '476554817']"
1456,1320103768,1320104082,16.91,"['1320103768', '1320104082']"
1457,1320104082,1320103768,16.91,"['1320104082', '1320103768']"
1458,1320104082,1316471718,15.86,"['1320104082', '1316471718']"
1459,1316471718,1320104082,15.86,"['1316471718', '1320104082']"
1460,1316471718,1320103902,31.02,"['1316471718', '1320103902']"
1461,1320103902,1316471718,31.02,"['1320103902', '1316471718']"
1462,1320103902,1316471742,8.76,"['1320103902', '1316471742']"
1463,1316471742,1320103902,8.76,"['1316471742', '1320103902']"
1464,1316471742,1320103988,5.05,"['1316471742', '1320103988']"
1465,1320103988,1316471742,5.05,"['1320103988', '1316471742']"
1466,1320103988,1316471917,5.79,"['1320103988', '1316471917']"
1467,1316471917,1320103988,5.79,"['1316471917', '1320103988']"
1468,1316471917,1320103994,10.45,"['1316471917', '1320103994']"
1469,1320103994,1316471917,10.45,"['1320103994', '1316471917']"
1470,1320103994,1316471808,4.44,"['1320103994', '1316471808']"
1471,1316471808,1320103994,4.44,"['1316471808', '1320103994']"
1472,1316471808,476557270,21.69,"['1316471808', '476557270']"
1473,476557270,1316471808,21.69,"['476557270', '1316471808']"
1474,476557270,1320103555,25.63,"['476557270', '476554815', '1320103555']"
1475,1320103555,476557270,25.63,"['1320103555', '476554815', '476557270']"
1476,1320103555,1316471804,6.16,"['1320103555', '1316471804']"
1477,1316471804,1320103555,6.16,"['1316471804', '1320103555']"
1478,1316471804,1316471958,14.47,"['1316471804', '1316471958']"
1479,1316471958,1316471804,14.47,"['1316471958', '1316471804']"
1480,1316471958,476554810,55.67,"['1316471958', '476554814', '476554812', '476554810']"
1481,476554810,1316471958,55.67,"['476554810', '476554812', '476554814', '1316471958']"
1482,476554810,1316472033,13.93,"['476554810', '1316472033']"
1483,1316472033,476554810,13.93,"['1316472033', '476554810']"
1484,1316472033,1316471848,40.53,"['1316472033', '1316471848']"
1485,1316471848,1316472033,40.53,"['1316471848', '1316472033']"
1486,1316471848,1320103601,4.52,"['1316471848', '1320103601']"
1487,1320103601,1316471848,4.52,"['1320103601', '1316471848']"
1488,1320103601,1316471840,7.85,"['1320103601', '1316471840']"
1489,1316471840,1320103601,7.85,"['1316471840', '1320103601']"
1490,1316471840,1320103653,16.44,"['1316471840', '1320103653']"
1491,1320103653,1316471840,16.44,"['1320103653', '1316471840']"
1492,1320103653,476554809,27.07,"['1320103653', '476554809']"
1493,476554809,1320103653,27.07,"['476554809', '1320103653']"
1494,654393951,654394586,222.39,"['654393951', '654394564', '654394566', '654394568', '654394571', '654394573', '654394575', '654394584', '654394586']"
1495,654394586,654393951,222.39,"['654394586', '654394584', '654394575', '654394573', '654394571', '654394568', '654394566', '654394564', '654393951']"
1496,482731911,482732480,188.21,"['482731911', '482732480']"
1497,482732480,482731911,188.21,"['482732480', '482731911']"
1498,482732480,482731912,54.66,"['482732480', '482731912']"
1499,482731912,482732480,54.66,"['482731912', '482732480']"
1500,654397600,654397601,56.68,"['654397600', '654397601']"
1501,654397601,654397600,56.68,"['654397601', '654397600']"
1502,654397601,654397602,125.1,"['654397601', '654397602']"
1503,654397602,654397601,125.1,"['654397602', '654397601']"
1504,654402303,1316236355,75.42,"['654402303', '1316236355']"
1505,1316236355,654402303,75.42,"['1316236355', '654402303']"
1506,654401048,1320103835,16.42,"['654401048', '1320103835']"
1507,1320103835,654401048,16.42,"['1320103835', '654401048']"
1508,1320103835,654405017,86.03,"['1320103835', '654405017']"
1509,654405017,1320103835,86.03,"['654405017', '1320103835']"
1510,677735262,677736954,869.44,"['677735262', '677735454', '1888382849', '1888382799', '677735661', '1888382809', '677735664', '1888382775', '677736108', '677736109', '1888382889', '677736111', '1888382846', '1888382895', '677736949', '677736954']"
1511,677736954,677735262,869.44,"['677736954', '677736949', '1888382895', '1888382846', '677736111', '1888382889', '677736109', '677736108', '1888382775', '677735664', '1888382809', '677735661', '1888382799', '1888382849', '677735454', '677735262']"
1512,773662836,1316623433,25.09,"['773662836', '1316623433']"
1513,1316623433,773662836,25.09,"['1316623433', '773662836']"
1514,1316623433,1316623488,27.99,"['1316623433', '1316623488']"
1515,1316623488,1316623433,27.99,"['1316623488', '1316623433']"
1516,1316623488,385113786,25.97,"['1316623488', '385113786']"
1517,385113786,1316623488,25.97,"['385113786', '1316623488']"
1518,848690496,848690457,250.83,"['848690496', '848690498', '848690501', '4075546742', '848690503', '848690505', '848690507', '848690457']"
1519,848690457,848690496,250.83,"['848690457', '848690507', '848690505', '848690503', '4075546742', '848690501', '848690498', '848690496']"
1520,850269030,603758613,1038.03,"['850269030', '1888382884', '603758598', '1888382760', '1888393414', '603758599', '603758600', '1888382901', '603758601', '603758602', '603758603', '603758604', '1888382865', '603758605', '603758607', '603758608', '603758610', '603758613']"
1521,603758613,850269030,1038.03,"['603758613', '603758610', '603758608', '603758607', '603758605', '1888382865', '603758604', '603758603', '603758602', '603758601', '1888382901', '603758600', '603758599', '1888393414', '1888382760', '603758598', '1888382884', '850269030']"
1522,856909306,856909334,205.92,"['856909306', '856909307', '856909308', '856909322', '856909326', '856909329', '856909331', '856909333', '856909334']"
1523,856909334,856909306,205.92,"['856909334', '856909333', '856909331', '856909329', '856909326', '856909322', '856909308', '856909307', '856909306']"
1524,971168076,971168073,374.55,"['971168076', '971168077', '971168079', '971168080', '971168073']"
1525,971168073,971168076,374.55,"['971168073', '971168080', '971168079', '971168077', '971168076']"
1526,1315785327,301639384,139.81,"['1315785327', '1315785181', '301639384']"
1527,301639384,1315785327,139.81,"['301639384', '1315785181', '1315785327']"
1528,1315785230,1315785310,46.64,"['1315785230', '1315785310']"
1529,1315785310,1315785230,46.64,"['1315785310', '1315785230']"
1530,1315785210,1315785476,24.62,"['1315785210', '1315785476']"
1531,1315785476,1315785210,24.62,"['1315785476', '1315785210']"
1532,1315785476,1315785574,70.24,"['1315785476', '1315785409', '1315785574']"
1533,1315785574,1315785476,70.24,"['1315785574', '1315785409', '1315785476']"
1534,1315785383,1315785446,14.02,"['1315785383', '1315785446']"
1535,1315785446,1315785383,14.02,"['1315785446', '1315785383']"
