id,from,to,cost,nodes
1309,213,238,262.81,"['483103066', '477444970', '601145285']"
1310,213,216,120.43,"['483103066', '477444973', '483103362']"
1311,216,213,120.43,"['483103362', '477444973', '483103066']"
1312,273,210,134.08,"['639305926', '483099095']"
1313,210,273,134.08,"['483099095', '639305926']"
1314,210,176,96.13,"['483099095', '481499138', '481499142']"
1315,176,210,96.13,"['481499142', '481499138', '483099095']"
1316,176,177,22.42,"['481499142', '4069732170', '481499482']"
1317,177,176,22.42,"['481499482', '4069732170', '481499142']"
1318,177,655,27.37,"['481499482', '1316236682']"
1319,655,177,27.37,"['1316236682', '481499482']"
1320,655,212,67.02,"['1316236682', '483099888']"
1321,212,655,67.02,"['483099888', '1316236682']"
1322,212,830,10.28,"['483099888', '1316237212']"
1323,830,212,10.28,"['1316237212', '483099888']"
1324,830,291,61.01,"['1316237212', '639308705']"
1325,291,830,61.01,"['639308705', '1316237212']"
1326,291,556,24.89,"['639308705', '481499147', '1316236386']"
1327,556,291,24.89,"['1316236386', '481499147', '639308705']"
1328,556,748,57.67,"['1316236386', '1316236395', '1316236963']"
1329,748,556,57.67,"['1316236963', '1316236395', '1316236386']"
1330,748,536,70.69,"['1316236963', '1316236342']"
1331,536,748,70.69,"['1316236342', '1316236963']"
1332,278,275,121.16,"['639308645', '7114595668', '6547379875', '639308640']"
1333,275,278,121.16,"['639308640', '6547379875', '7114595668', '639308645']"
1334,275,276,42.01,"['639308640', '6547379876', '639308641']"
1335,276,275,42.01,"['639308641', '6547379876', '639308640']"
1336,277,278,151.5,"['639308643', '6547379873', '639308644', '639308645']"
1337,278,277,151.5,"['639308645', '639308644', '6547379873', '639308643']"
1338,279,275,61.62,"['639308664', '639308665', '639308640']"
1339,275,279,61.62,"['639308640', '639308665', '639308664']"
1340,280,2005,31.95,"['639308668', '4460275969']"
1341,2005,280,31.95,"['4460275969', '639308668']"
1342,2005,535,57.48,"['4460275969', '639308669', '1316236338']"
1343,535,2005,57.48,"['1316236338', '639308669', '4460275969']"
1344,535,282,61.06,"['1316236338', '639308672']"
1345,282,535,61.06,"['639308672', '1316236338']"
1346,281,914,98.03,"['639308671', '1316471814']"
1347,914,281,98.03,"['1316471814', '639308671']"
1348,914,12,34.17,"['1316471814', '93310875']"
1349,12,914,34.17,"['93310875', '1316471814']"
1350,282,281,151.25,"['639308672', '639309882', '3356022890', '6547379884', '3356022891', '639308671']"
1351,281,282,151.25,"['639308671', '3356022891', '6547379884', '3356022890', '639309882', '639308672']"
1352,283,691,60.68,"['639308674', '1316236784']"
1353,691,283,60.68,"['1316236784', '639308674']"
1354,691,820,21.09,"['1316236784', '1316237194']"
1355,820,691,21.09,"['1316237194', '1316236784']"
1356,820,685,36.95,"['1316237194', '1316236763']"
1357,685,820,36.95,"['1316236763', '1316237194']"
1358,685,284,37.76,"['1316236763', '639308675', '639308676']"
1359,284,685,37.76,"['639308676', '639308675', '1316236763']"
1360,284,753,56.47,"['639308676', '1316236984']"
1361,753,284,56.47,"['1316236984', '639308676']"
1362,753,696,23.65,"['1316236984', '639308677', '1316236804']"
1363,696,753,23.65,"['1316236804', '639308677', '1316236984']"
1364,696,559,9.34,"['1316236804', '1316236392']"
1365,559,696,9.34,"['1316236392', '1316236804']"
1366,559,285,31.19,"['1316236392', '639308678', '639308680']"
1367,285,559,31.19,"['639308680', '639308678', '1316236392']"
1368,287,288,60.18,"['639308682', '639308683']"
1369,288,287,60.18,"['639308683', '639308682']"
1370,194,751,16.87,"['482732142', '1316236976']"
1371,751,194,16.87,"['1316236976', '482732142']"
1372,751,584,12.9,"['1316236976', '1316236446']"
1373,584,751,12.9,"['1316236446', '1316236976']"
1374,584,553,12.87,"['1316236446', '1316236381']"
1375,553,584,12.87,"['1316236381', '1316236446']"
1376,553,674,15.29,"['1316236381', '1316236722']"
1377,674,553,15.29,"['1316236722', '1316236381']"
1378,674,804,12.9,"['1316236722', '1316237158']"
1379,804,674,12.9,"['1316237158', '1316236722']"
1380,804,736,11.87,"['1316237158', '1316236926']"
1381,736,804,11.87,"['1316236926', '1316237158']"
1382,736,827,5.64,"['1316236926', '1316237207']"
1383,827,736,5.64,"['1316237207', '1316236926']"
1384,827,755,15.28,"['1316237207', '1316236987']"
1385,755,827,15.28,"['1316236987', '1316237207']"
1386,755,726,12.13,"['1316236987', '1316236887']"
1387,726,755,12.13,"['1316236887', '1316236987']"
1388,726,284,19.35,"['1316236887', '639308676']"
1389,284,726,19.35,"['639308676', '1316236887']"
1390,284,2023,48.82,"['639308676', '7113840960']"
1391,2023,284,48.82,"['7113840960', '639308676']"
1392,289,498,51.14,"['639308696', '1316198736']"
1393,498,289,51.14,"['1316198736', '639308696']"
1394,498,528,3.93,"['1316198736', '1316198815']"
1395,528,498,3.93,"['1316198815', '1316198736']"
1396,528,503,13.23,"['1316198815', '1316198747']"
1397,503,528,13.23,"['1316198747', '1316198815']"
1398,503,521,6.78,"['1316198747', '1316198796']"
1399,521,503,6.78,"['1316198796', '1316198747']"
1400,521,510,9.19,"['1316198796', '1316198767']"
1401,510,521,9.19,"['1316198767', '1316198796']"
1402,510,507,10.4,"['1316198767', '1316198759']"
1403,507,510,10.4,"['1316198759', '1316198767']"
1404,507,500,17.77,"['1316198759', '1316198740']"
1405,500,507,17.77,"['1316198740', '1316198759']"
1406,500,513,9.1,"['1316198740', '1316198773']"
1407,513,500,9.1,"['1316198773', '1316198740']"
1408,513,290,7.05,"['1316198773', '639308698']"
1409,290,513,7.05,"['639308698', '1316198773']"
1410,290,741,12.21,"['639308698', '1316236932']"
1411,741,290,12.21,"['1316236932', '639308698']"
1412,741,652,9.87,"['1316236932', '1316236669']"
1413,652,741,9.87,"['1316236669', '1316236932']"
1414,652,721,5.12,"['1316236669', '1316236873']"
1415,721,652,5.12,"['1316236873', '1316236669']"
1416,721,677,9.44,"['1316236873', '1316236732']"
1417,677,721,9.44,"['1316236732', '1316236873']"
1418,677,694,20.63,"['1316236732', '6035124545', '1316236792']"
1419,694,677,20.63,"['1316236792', '6035124545', '1316236732']"
1420,694,199,13.03,"['1316236792', '482732996']"
1421,199,694,13.03,"['482732996', '1316236792']"
1422,194,671,22.74,"['482732142', '1316236717']"
1423,671,194,22.74,"['1316236717', '482732142']"
1424,671,758,55.88,"['1316236717', '1316237001']"
1425,758,671,55.88,"['1316237001', '1316236717']"
1426,758,791,18.19,"['1316237001', '1316237112']"
1427,791,758,18.19,"['1316237112', '1316237001']"
1428,791,642,42.4,"['1316237112', '639308701', '1316236642']"
1429,642,791,42.4,"['1316236642', '639308701', '1316237112']"
1430,642,645,35.99,"['1316236642', '639308702', '639308703', '639308704', '1316236650']"
1431,645,642,35.99,"['1316236650', '639308704', '639308703', '639308702', '1316236642']"
1432,645,743,13.89,"['1316236650', '1316236948']"
1433,743,645,13.89,"['1316236948', '1316236650']"
1434,743,570,13.43,"['1316236948', '1316236423']"
1435,570,743,13.43,"['1316236423', '1316236948']"
1436,570,291,93.31,"['1316236423', '639308705']"
1437,291,570,93.31,"['639308705', '1316236423']"
1438,292,579,47.06,"['639308707', '639308708', '1316236440']"
1439,579,292,47.06,"['1316236440', '639308708', '639308707']"
1440,579,735,73.72,"['1316236440', '639308709', '1316236925']"
1441,735,579,73.72,"['1316236925', '639308709', '1316236440']"
1442,735,629,31.66,"['1316236925', '1316236590']"
1443,629,735,31.66,"['1316236590', '1316236925']"
1444,629,828,40.21,"['1316236590', '639308710', '639308711', '639308712', '1316237209']"
1445,828,629,40.21,"['1316237209', '639308712', '639308711', '639308710', '1316236590']"
1446,828,286,19.02,"['1316237209', '639308713', '639308681']"
1447,286,828,19.02,"['639308681', '639308713', '1316237209']"
1448,2024,807,41.75,"['7114595669', '1316237161']"
1449,807,2024,41.75,"['1316237161', '7114595669']"
1450,807,294,18.91,"['1316237161', '639309883']"
1451,294,807,18.91,"['639309883', '1316237161']"
1452,294,295,88.3,"['639309883', '639309884', '639309885', '639309886']"
1453,295,294,88.3,"['639309886', '639309885', '639309884', '639309883']"
1454,89,1614,32.31,"['476554817', '1320103768']"
1455,1614,89,32.31,"['1320103768', '476554817']"
1456,1614,1769,16.91,"['1320103768', '1320104082']"
1457,1769,1614,16.91,"['1320104082', '1320103768']"
1458,1769,860,15.86,"['1320104082', '1316471718']"
1459,860,1769,15.86,"['1316471718', '1320104082']"
1460,860,1665,31.02,"['1316471718', '1320103902']"
1461,1665,860,31.02,"['1320103902', '1316471718']"
1462,1665,878,8.76,"['1320103902', '1316471742']"
1463,878,1665,8.76,"['1316471742', '1320103902']"
1464,878,1722,5.05,"['1316471742', '1320103988']"
1465,1722,878,5.05,"['1320103988', '1316471742']"
1466,1722,982,5.79,"['1320103988', '1316471917']"
1467,982,1722,5.79,"['1316471917', '1320103988']"
1468,982,1725,10.45,"['1316471917', '1320103994']"
1469,1725,982,10.45,"['1320103994', '1316471917']"
1470,1725,912,4.44,"['1320103994', '1316471808']"
1471,912,1725,4.44,"['1316471808', '1320103994']"
1472,912,100,21.69,"['1316471808', '476557270']"
1473,100,912,21.69,"['476557270', '1316471808']"
1474,100,1548,25.63,"['476557270', '476554815', '1320103555']"
1475,1548,100,25.63,"['1320103555', '476554815', '476557270']"
1476,1548,909,6.16,"['1320103555', '1316471804']"
1477,909,1548,6.16,"['1316471804', '1320103555']"
1478,909,1002,14.47,"['1316471804', '1316471958']"
1479,1002,909,14.47,"['1316471958', '1316471804']"
1480,1002,88,55.67,"['1316471958', '476554814', '476554812', '476554810']"
1481,88,1002,55.67,"['476554810', '476554812', '476554814', '1316471958']"
1482,88,1032,13.93,"['476554810', '1316472033']"
1483,1032,88,13.93,"['1316472033', '476554810']"
1484,1032,934,40.53,"['1316472033', '1316471848']"
1485,934,1032,40.53,"['1316471848', '1316472033']"
1486,934,1558,4.52,"['1316471848', '1320103601']"
1487,1558,934,4.52,"['1320103601', '1316471848']"
1488,1558,931,7.85,"['1320103601', '1316471840']"
1489,931,1558,7.85,"['1316471840', '1320103601']"
1490,931,1577,16.44,"['1316471840', '1320103653']"
1491,1577,931,16.44,"['1320103653', '1316471840']"
1492,1577,87,27.07,"['1320103653', '476554809']"
1493,87,1577,27.07,"['476554809', '1320103653']"
1494,297,298,222.39,"['654393951', '654394564', '654394566', '654394568', '654394571', '654394573', '654394575', '654394584', '654394586']"
1495,298,297,222.39,"['654394586', '654394584', '654394575', '654394573', '654394571', '654394568', '654394566', '654394564', '654393951']"
1496,192,196,188.21,"['482731911', '482732480']"
1497,196,192,188.21,"['482732480', '482731911']"
1498,196,193,54.66,"['482732480', '482731912']"
1499,193,196,54.66,"['482731912', '482732480']"
1500,299,300,56.68,"['654397600', '654397601']"
1501,300,299,56.68,"['654397601', '654397600']"
1502,300,301,125.1,"['654397601', '654397602']"
1503,301,300,125.1,"['654397602', '654397601']"
1504,306,542,75.42,"['654402303', '1316236355']"
1505,542,306,75.42,"['1316236355', '654402303']"
1506,303,1641,16.42,"['654401048', '1320103835']"
1507,1641,303,16.42,"['1320103835', '654401048']"
1508,1641,308,86.03,"['1320103835', '654405017']"
1509,308,1641,86.03,"['654405017', '1320103835']"
1510,309,310,869.44,"['677735262', '677735454', '1888382849', '1888382799', '677735661', '1888382809', '677735664', '1888382775', '677736108', '677736109', '1888382889', '677736111', '1888382846', '1888382895', '677736949', '677736954']"
1511,310,309,869.44,"['677736954', '677736949', '1888382895', '1888382846', '677736111', '1888382889', '677736109', '677736108', '1888382775', '677735664', '1888382809', '677735661', '1888382799', '1888382849', '677735454', '677735262']"
1512,312,1145,25.09,"['773662836', '1316623433']"
1513,1145,312,25.09,"['1316623433', '773662836']"
1514,1145,1158,27.99,"['1316623433', '1316623488']"
1515,1158,1145,27.99,"['1316623488', '1316623433']"
1516,1158,33,25.97,"['1316623488', '385113786']"
1517,33,1158,25.97,"['385113786', '1316623488']"
1518,317,316,250.83,"['848690496', '848690498', '848690501', '4075546742', '848690503', '848690505', '848690507', '848690457']"
1519,316,317,250.83,"['848690457', '848690507', '848690505', '848690503', '4075546742', '848690501', '848690498', '848690496']"
1520,319,260,1038.03,"['850269030', '1888382884', '603758598', '1888382760', '1888393414', '603758599', '603758600', '1888382901', '603758601', '603758602', '603758603', '603758604', '1888382865', '603758605', '603758607', '603758608', '603758610', '603758613']"
1521,260,319,1038.03,"['603758613', '603758610', '603758608', '603758607', '603758605', '1888382865', '603758604', '603758603', '603758602', '603758601', '1888382901', '603758600', '603758599', '1888393414', '1888382760', '603758598', '1888382884', '850269030']"
1522,322,323,205.92,"['856909306', '856909307', '856909308', '856909322', '856909326', '856909329', '856909331', '856909333', '856909334']"
1523,323,322,205.92,"['856909334', '856909333', '856909331', '856909329', '856909326', '856909322', '856909308', '856909307', '856909306']"
1524,328,327,374.55,"['971168076', '971168077', '971168079', '971168080', '971168073']"
1525,327,328,374.55,"['971168073', '971168080', '971168079', '971168077', '971168076']"
1526,375,29,139.81,"['1315785327', '1315785181', '301639384']"
1527,29,375,139.81,"['301639384', '1315785181', '1315785327']"
1528,345,372,46.64,"['1315785230', '1315785310']"
1529,372,345,46.64,"['1315785310', '1315785230']"
1530,340,411,24.62,"['1315785210', '1315785476']"
1531,411,340,24.62,"['1315785476', '1315785210']"
1532,411,434,70.24,"['1315785476', '1315785409', '1315785574']"
1533,434,411,70.24,"['1315785574', '1315785409', '1315785476']"
1534,388,403,14.02,"['1315785383', '1315785446']"
1535,403,388,14.02,"['1315785446', '1315785383']"
1536,403,330,14.63,"['1315785446', '1315785184']"
1537,330,403,14.63,"['1315785184', '1315785446']"
1538,330,421,5.65,"['1315785184', '1315785509']"
1539,421,330,5.65,"['1315785509', '1315785184']"
1540,421,333,11.93,"['1315785509', '1315785194']"
1541,333,421,11.93,"['1315785194', '1315785509']"
1542,333,371,8.68,"['1315785194', '1315785306']"
1543,371,333,8.68,"['1315785306', '1315785194']"
1544,371,335,7.26,"['1315785306', '1315785196']"
1545,335,371,7.26,"['1315785196', '1315785306']"
1546,335,415,22.74,"['1315785196', '1315785490']"
1547,415,335,22.74,"['1315785490', '1315785196']"
1548,407,347,14.76,"['1315785462', '1315785239']"
1549,347,407,14.76,"['1315785239', '1315785462']"
1550,347,352,30.06,"['1315785239', '1315785249']"
1551,352,347,30.06,"['1315785249', '1315785239']"
1552,352,417,31.76,"['1315785249', '1315785495']"
1553,417,352,31.76,"['1315785495', '1315785249']"
1554,417,376,34.85,"['1315785495', '1315785332']"
1555,376,417,34.85,"['1315785332', '1315785495']"
1556,355,403,45.69,"['1315785255', '1315785446']"
1557,403,355,45.69,"['1315785446', '1315785255']"
1558,2006,373,21.83,"['4705342936', '1315785314']"
1559,373,2006,21.83,"['1315785314', '4705342936']"
1560,373,338,16.65,"['1315785314', '1315785207']"
1561,338,373,16.65,"['1315785207', '1315785314']"
1562,338,459,13.51,"['1315785207', '1315785647']"
1563,459,338,13.51,"['1315785647', '1315785207']"
1564,459,362,12.21,"['1315785647', '1315785281']"
1565,362,459,12.21,"['1315785281', '1315785647']"
1566,362,426,14.98,"['1315785281', '1315785535']"
1567,426,362,14.98,"['1315785535', '1315785281']"
1568,377,360,54.12,"['1315785333', '1315785274']"
1569,360,377,54.12,"['1315785274', '1315785333']"
1570,365,352,30.16,"['1315785288', '1315785643', '1315785249']"
1571,352,365,30.16,"['1315785249', '1315785643', '1315785288']"
1572,358,436,136.28,"['1315785265', '1315785173', '1315785579']"
1573,436,358,136.28,"['1315785579', '1315785173', '1315785265']"
1574,447,348,17.64,"['1315785611', '1315785242']"
1575,348,447,17.64,"['1315785242', '1315785611']"
1576,348,426,34.81,"['1315785242', '1315785535']"
1577,426,348,34.81,"['1315785535', '1315785242']"
1578,426,409,10.75,"['1315785535', '1315785469']"
1579,409,426,10.75,"['1315785469', '1315785535']"
1580,430,406,18.51,"['1315785550', '1315785459']"
1581,406,430,18.51,"['1315785459', '1315785550']"
1582,406,343,16.4,"['1315785459', '1315785217']"
1583,343,406,16.4,"['1315785217', '1315785459']"
1584,343,420,15.14,"['1315785217', '1315785508']"
1585,420,343,15.14,"['1315785508', '1315785217']"
1586,420,363,19.47,"['1315785508', '1315785282']"
1587,363,420,19.47,"['1315785282', '1315785508']"
1588,363,336,19.08,"['1315785282', '1315785197']"
1589,336,363,19.08,"['1315785197', '1315785282']"
1590,431,458,13.81,"['1315785560', '1315785646']"
1591,458,431,13.81,"['1315785646', '1315785560']"
1592,458,382,15.45,"['1315785646', '1315785349']"
1593,382,458,15.45,"['1315785349', '1315785646']"
1594,382,1970,16.84,"['1315785349', '1562117605']"
1595,1970,382,16.84,"['1562117605', '1315785349']"
1596,1970,460,19.04,"['1562117605', '1315785649']"
1597,460,1970,19.04,"['1315785649', '1562117605']"
1598,460,341,14.97,"['1315785649', '1315785213']"
1599,341,460,14.97,"['1315785213', '1315785649']"
1600,341,408,18.99,"['1315785213', '1315785464']"
1601,408,341,18.99,"['1315785464', '1315785213']"
1602,408,376,29.13,"['1315785464', '1315785332']"
1603,376,408,29.13,"['1315785332', '1315785464']"
1604,376,416,17.18,"['1315785332', '1315785491']"
1605,416,376,17.18,"['1315785491', '1315785332']"
1606,422,389,44.18,"['1315785511', '1315785384']"
1607,389,422,44.18,"['1315785384', '1315785511']"
1608,367,379,36.93,"['1315785292', '1315785339']"
1609,379,367,36.93,"['1315785339', '1315785292']"
1610,457,424,43.0,"['1315785636', '1315785529']"
1611,424,457,43.0,"['1315785529', '1315785636']"
1612,424,448,63.35,"['1315785529', '1315785613']"
1613,448,424,63.35,"['1315785613', '1315785529']"
1614,395,421,27.46,"['1315785411', '1315785509']"
1615,421,395,27.46,"['1315785509', '1315785411']"
1616,400,441,52.98,"['1315785440', '1315785600']"
1617,441,400,52.98,"['1315785600', '1315785440']"
1618,440,333,48.73,"['1315785598', '1315785194']"
1619,333,440,48.73,"['1315785194', '1315785598']"
1620,359,445,66.29,"['1315785266', '1315785319', '1315785608']"
1621,445,359,66.29,"['1315785608', '1315785319', '1315785266']"
1622,445,410,25.96,"['1315785608', '1315785475']"
1623,410,445,25.96,"['1315785475', '1315785608']"
1624,342,362,22.32,"['1315785214', '1315785281']"
1625,362,342,22.32,"['1315785281', '1315785214']"
1626,433,371,24.81,"['1315785570', '1315785306']"
1627,371,433,24.81,"['1315785306', '1315785570']"
1628,392,357,42.9,"['1315785394', '1315785261']"
1629,357,392,42.9,"['1315785261', '1315785394']"
1630,331,396,134.96,"['1315785186', '1315785416', '1315785502', '1315785414']"
1631,396,331,134.96,"['1315785414', '1315785502', '1315785416', '1315785186']"
1632,450,330,47.09,"['1315785618', '1315785184']"
1633,330,450,47.09,"['1315785184', '1315785618']"
1634,366,363,18.19,"['1315785289', '1315785282']"
1635,363,366,18.19,"['1315785282', '1315785289']"
1636,363,383,41.05,"['1315785282', '1315785354']"
1637,383,363,41.05,"['1315785354', '1315785282']"
1638,412,401,168.28,"['1315785477', '1315785254', '1315785441']"
1639,401,412,168.28,"['1315785441', '1315785254', '1315785477']"
1640,368,417,25.43,"['1315785294', '1315785442', '1315785495']"
1641,417,368,25.43,"['1315785495', '1315785442', '1315785294']"
1642,446,382,39.83,"['1315785610', '1315785349']"
1643,382,446,39.83,"['1315785349', '1315785610']"
1644,394,459,59.91,"['1315785407', '1315785467', '1315785647']"
1645,459,394,59.91,"['1315785647', '1315785467', '1315785407']"
1646,459,329,26.01,"['1315785647', '1315785176']"
1647,329,459,26.01,"['1315785176', '1315785647']"
1648,385,356,40.75,"['1315785363', '1315785382', '1315785257']"
1649,356,385,40.75,"['1315785257', '1315785382', '1315785363']"
1650,443,423,112.25,"['1315785605', '1315785524']"
1651,423,443,112.25,"['1315785524', '1315785605']"
1652,423,337,60.11,"['1315785524', '1315785268', '1315785206']"
1653,337,423,60.11,"['1315785206', '1315785268', '1315785524']"
1654,393,442,73.95,"['1315785401', '1315785538', '1315785601']"
1655,442,393,73.95,"['1315785601', '1315785538', '1315785401']"
1656,353,341,93.6,"['1315785252', '1315785587', '1315785213']"
1657,341,353,93.6,"['1315785213', '1315785587', '1315785252']"
1658,444,452,37.53,"['1315785606', '1315785622']"
1659,452,444,37.53,"['1315785622', '1315785606']"
1660,419,432,112.71,"['1315785504', '1315785561']"
1661,432,419,112.71,"['1315785561', '1315785504']"
1662,437,449,53.27,"['1315785589', '1315785614']"
1663,449,437,53.27,"['1315785614', '1315785589']"
1664,380,399,44.32,"['1315785341', '1315785427']"
1665,399,380,44.32,"['1315785427', '1315785341']"
1666,414,378,57.29,"['1315785485', '1315785337']"
1667,378,414,57.29,"['1315785337', '1315785485']"
1668,339,386,52.25,"['1315785208', '1315785370']"
1669,386,339,52.25,"['1315785370', '1315785208']"
1670,334,344,39.77,"['1315785195', '1315785219']"
1671,344,334,39.77,"['1315785219', '1315785195']"
1672,344,451,63.29,"['1315785219', '1315785621']"
1673,451,344,63.29,"['1315785621', '1315785219']"
1674,391,458,37.67,"['1315785392', '1315785646']"
1675,458,391,37.67,"['1315785646', '1315785392']"
1676,435,460,37.9,"['1315785577', '1315785649']"
1677,460,435,37.9,"['1315785649', '1315785577']"
1678,384,347,35.1,"['1315785362', '1315785417', '1315785239']"
1679,347,384,35.1,"['1315785239', '1315785417', '1315785362']"
1680,439,404,24.1,"['1315785595', '1315785448']"
1681,404,439,24.1,"['1315785448', '1315785595']"
1682,404,351,23.31,"['1315785448', '1315785248']"
1683,351,404,23.31,"['1315785248', '1315785448']"
1684,361,338,97.76,"['1315785276', '1315785408', '1315785207']"
1685,338,361,97.76,"['1315785207', '1315785408', '1315785276']"
1686,338,354,24.24,"['1315785207', '1315785253']"
1687,354,338,24.24,"['1315785253', '1315785207']"
1688,423,374,22.35,"['1315785524', '1315785325']"
1689,374,423,22.35,"['1315785325', '1315785524']"
1690,374,344,16.32,"['1315785325', '1315785219']"
1691,344,374,16.32,"['1315785219', '1315785325']"
1692,344,424,13.39,"['1315785219', '1315785529']"
1693,424,344,13.39,"['1315785529', '1315785219']"
1694,424,411,34.93,"['1315785529', '1315785395', '1315785476']"
1695,411,424,34.93,"['1315785476', '1315785395', '1315785529']"
1696,411,445,15.28,"['1315785476', '1315785608']"
1697,445,411,15.28,"['1315785608', '1315785476']"
1698,445,438,15.56,"['1315785608', '1315785593']"
1699,438,445,15.56,"['1315785593', '1315785608']"
1700,438,404,15.84,"['1315785593', '1315785448']"
1701,404,438,15.84,"['1315785448', '1315785593']"
1702,404,348,14.45,"['1315785448', '1315785242']"
1703,348,404,14.45,"['1315785242', '1315785448']"
1704,405,381,47.26,"['1315785451', '1315785344']"
1705,381,405,47.26,"['1315785344', '1315785451']"
1706,455,356,25.66,"['1315785630', '1315785257']"
1707,356,455,25.66,"['1315785257', '1315785630']"
1708,356,370,18.69,"['1315785257', '1315785297']"
1709,370,356,18.69,"['1315785297', '1315785257']"
1710,387,438,25.59,"['1315785380', '1315785593']"
1711,438,387,25.59,"['1315785593', '1315785380']"
1712,438,349,22.77,"['1315785593', '1315785243']"
1713,349,438,22.77,"['1315785243', '1315785593']"
1714,369,373,43.98,"['1315785296', '1315785314']"
1715,373,369,43.98,"['1315785314', '1315785296']"
1716,373,402,23.89,"['1315785314', '1315785445']"
1717,402,373,23.89,"['1315785445', '1315785314']"
1718,364,413,52.95,"['1315785285', '1315785479']"
1719,413,364,52.95,"['1315785479', '1315785285']"
1720,453,420,52.77,"['1315785623', '1315785508']"
1721,420,453,52.77,"['1315785508', '1315785623']"
1722,420,397,40.41,"['1315785508', '1315785418']"
1723,397,420,40.41,"['1315785418', '1315785508']"
1724,454,335,49.37,"['1315785627', '1315785196']"
1725,335,454,49.37,"['1315785196', '1315785627']"
1726,429,374,40.65,"['1315785549', '1315785325']"
1727,374,429,40.65,"['1315785325', '1315785549']"
1728,374,427,61.84,"['1315785325', '1315785539']"
1729,427,374,61.84,"['1315785539', '1315785325']"
1730,428,336,43.39,"['1315785545', '1315785197']"
1731,336,428,43.39,"['1315785197', '1315785545']"
1732,336,350,62.6,"['1315785197', '1315785245']"
1733,350,336,62.6,"['1315785245', '1315785197']"
1734,332,418,37.42,"['1315785192', '1315785501']"
1735,418,332,37.42,"['1315785501', '1315785192']"
1736,425,384,22.25,"['1315785534', '1315785362']"
1737,384,425,22.25,"['1315785362', '1315785534']"
1738,384,365,31.5,"['1315785362', '1315785288']"
1739,365,384,31.5,"['1315785288', '1315785362']"
1740,365,368,30.65,"['1315785288', '1315785294']"
1741,368,365,30.65,"['1315785294', '1315785288']"
1742,368,408,35.82,"['1315785294', '1315785464']"
1743,408,368,35.82,"['1315785464', '1315785294']"
1744,461,491,22.02,"['1316192118', '1316196995']"
1745,491,461,22.02,"['1316196995', '1316192118']"
1746,491,480,13.7,"['1316196995', '1316196978']"
1747,480,491,13.7,"['1316196978', '1316196995']"
1748,484,486,155.0,"['1316196983', '1316196968', '1316196938', '1316196979', '1316196985']"
1749,486,484,155.0,"['1316196985', '1316196979', '1316196938', '1316196968', '1316196983']"
1750,486,489,67.45,"['1316196985', '1316196975', '1316196970', '1316196992']"
1751,489,486,67.45,"['1316196992', '1316196970', '1316196975', '1316196985']"
1752,529,509,28.95,"['1316236320', '1316198765']"
1753,509,529,28.95,"['1316198765', '1316236320']"
1754,509,480,115.28,"['1316198765', '1316198778', '1316198810', '1316198817', '1316198795', '1316196978']"
1755,480,509,115.28,"['1316196978', '1316198795', '1316198817', '1316198810', '1316198778', '1316198765']"
1756,495,509,22.27,"['1316197001', '1316196942', '1316198765']"
1757,509,495,22.27,"['1316198765', '1316196942', '1316197001']"
1758,509,482,14.2,"['1316198765', '1316196981']"
1759,482,509,14.2,"['1316196981', '1316198765']"
1760,482,660,15.52,"['1316196981', '1316236692']"
1761,660,482,15.52,"['1316236692', '1316196981']"
1762,660,468,5.74,"['1316236692', '1316196946']"
1763,468,660,5.74,"['1316196946', '1316236692']"
1764,468,538,46.56,"['1316196946', '1316197004', '1316236347']"
1765,538,468,46.56,"['1316236347', '1316197004', '1316196946']"
1766,538,462,18.11,"['1316236347', '1316195130']"
1767,462,538,18.11,"['1316195130', '1316236347']"
1768,473,469,62.76,"['1316196957', '1316196948']"
1769,469,473,62.76,"['1316196948', '1316196957']"
1770,469,465,43.18,"['1316196948', '1316196943']"
1771,465,469,43.18,"['1316196943', '1316196948']"
1772,490,466,72.52,"['1316196994', '1316196966', '1316196944']"
1773,466,490,72.52,"['1316196944', '1316196966', '1316196994']"
1774,466,494,78.15,"['1316196944', '1316197000']"
1775,494,466,78.15,"['1316197000', '1316196944']"
1776,482,493,58.66,"['1316196981', '1316196967', '1316196991', '1316196999']"
1777,493,482,58.66,"['1316196999', '1316196991', '1316196967', '1316196981']"
1778,493,491,50.43,"['1316196999', '1316197002', '1316196976', '1316196995']"
1779,491,493,50.43,"['1316196995', '1316196976', '1316197002', '1316196999']"
1780,475,471,102.35,"['1316196960', '1316196952']"
1781,471,475,102.35,"['1316196952', '1316196960']"
1782,496,487,8.36,"['1316197003', '1316196988']"
1783,487,496,8.36,"['1316196988', '1316197003']"
1784,487,464,9.07,"['1316196988', '1316196939']"
1785,464,487,9.07,"['1316196939', '1316196988']"
1786,464,636,12.69,"['1316196939', '1316236612']"
1787,636,464,12.69,"['1316236612', '1316196939']"
1788,636,621,5.23,"['1316236612', '1316236561']"
1789,621,636,5.23,"['1316236561', '1316236612']"
1790,621,812,16.38,"['1316236561', '1316237178']"
1791,812,621,16.38,"['1316237178', '1316236561']"
1792,812,486,16.75,"['1316237178', '1316196985']"
1793,486,812,16.75,"['1316196985', '1316237178']"
1794,486,470,18.89,"['1316196985', '1316196949']"
1795,470,486,18.89,"['1316196949', '1316196985']"
1796,470,492,21.6,"['1316196949', '1316196998']"
1797,492,470,21.6,"['1316196998', '1316196949']"
1798,492,466,16.43,"['1316196998', '1316196944']"
